Zona_Ciudad,Nivel_Preocupacion_Climatica
Sur,Alta
Oeste,Alta
Sur,Alta
Norte,Media
Este,Alta
Sur,Alta
Este,Alta
Norte,Baja
Norte,Baja
Centro,Media
Norte,Media
Norte,Alta
Centro,Baja
Centro,Baja
Norte,Media
Este,Baja
Oeste,Baja
Centro,Alta
Centro,Baja
Oeste,Alta
Norte,Alta
Este,Media
Sur,Baja
Oeste,Media
Sur,Media
Oeste,Alta
Centro,Media
Centro,Media
Norte,Baja
Este,Alta
Oeste,Media
Oeste,Media
Oeste,Alta
Norte,Baja
Este,Media
Sur,Media
Norte,Baja
Oeste,Media
Centro,Baja
Este,Baja
Sur,Baja
Centro,Media
Este,Media
Sur,Baja
Sur,Baja
Sur,Baja
Sur,Media
Oeste,Media
Este,Baja
Este,Baja
Oeste,Alta
Oeste,Alta
Este,Baja
Sur,Media
Centro,Baja
Oeste,Baja
Este,Media
Norte,Media
Este,Baja
Sur,Baja
Norte,Media
Sur,Baja
Oeste,Alta
Centro,Alta
Norte,Alta
Oeste,Alta
Sur,Media
Norte,Alta
Norte,Alta
Este,Alta
Oeste,Media
Norte,Baja
Centro,Media
Centro,Media
Este,Media
Norte,Alta
Este,Media
Este,Alta
Este,Baja
Norte,Baja
Norte,Alta
Sur,Alta
Este,Baja
Este,Media
Este,Media
Este,Media
Centro,Media
Norte,Media
Este,Baja
Norte,Baja
Oeste,Media
Este,Baja
Norte,Alta
Sur,Media
Este,Alta
Oeste,Media
Este,Media
Norte,Baja
Centro,Media
Centro,Baja
Este,Alta
Centro,Baja
Norte,Media
Norte,Media
Centro,Alta
Este,Media
Norte,Alta
Este,Baja
Oeste,Alta
Oeste,Media
Norte,Media
Oeste,Baja
Oeste,Alta
Este,Alta
Oeste,Alta
Este,Media
Centro,Alta
Oeste,Media
Oeste,Alta
Oeste,Media
