Zona,grandiente,Edad,Sexo,Instruccion,Hombres,Mujeres,Vivienda_Habitacion,Vivienda_Material,Tipo_Servicio,Paga_mes,Como_Purif_Agua,Tipo_Organizaciones,Tipo_actividad_sociocultural,Platos_tipicos,Acceso_educacion,Acceso_salud,Servio_trasporte,Actividad_Productiva,Tipos_Cultivos,Tipos_Animales,Area_Ocupada,Rol_Esposo,Rol_Esposa,Lugar_Venta_Productos,Tipo_financiamiento,Nivel_suficiencia_ecoomica,Ingreso_Mensual,RRNN_Finca,Grado_Importancia_RRNN,Cantidad_agua,Calidad_agua,Descarga_aguas_residuales,Manejo_residuos_solidos,Conflictos_tipos_tenencia_tierra,Uso_Agua
Zapotepamba,Baja,33,Masculino,Primaria,1,1.0,Arrendada,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Regular,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,26,Masculino,Primaria,1,1.0,Arrendada,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Excelente,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,38,Masculino,Primaria,2,1.0,Propia,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Excelente,Excelente,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",Conflictos por herencia,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,48,Femenino,Primaria,3,2.0,Propia,Ladrillo,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Excelente,Excelente,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,67,Femenino,Primaria,1,1.0,Propia,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Muy importante,Muy mala,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",Conlictos por límites de tierras,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,35,Femenino,Primaria,4,3.0,Propia,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",Conlictos por límites de tierras,"Consumo domestico, Riego, Ganaderia"
San Vicente del Almendral,Alta,60,Femenino,Primaria,1,2.0,Propia,Adobe,"Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,25-3,50","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha",Casanga,"Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Importante,Mala,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",Conlictos por limites de tierras,"Consumo domestico, Riego, Ganaderia"
San Vicente del Almendral,Alta,87,Masculino,Primaria,1,0.0,Propia,Adobe,"Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,25-3,50","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha",Casanga,"Recursos propios, Creditos institucionales",NO,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Buena,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",Conlictos por limites de tierras,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,72,Femenino,Primaria,1,1.0,Propia,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00","USD 2,50-8,01","USD 2,50-8,02","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",NO,50-200,"Agua, Suelo, Madera, Leña",Importante,Regular,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,32,Femenino,Primaria,2,4.0,Propia,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Creditos institucionales",NO,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
